iso3,year,Predicted_In_Need,Predicted_Requirements,Predicted_Funding,iso3_original,Funding_Gap,Risk_Flag
NPL,2026,16628593.0,567348000.0,0.0, |  |  |  |  |  |  | NPL,567347968.0,True
NPL,2027,16628593.0,567348000.0,0.0, |  |  |  |  |  |  | NPL,567347968.0,True
NPL,2028,16628593.0,567348000.0,0.0, |  |  |  |  |  |  | NPL,567347968.0,True
NPL,2029,16628593.0,567348000.0,0.0, |  |  |  |  |  |  | NPL,567347968.0,True
NPL,2030,16628593.0,567348000.0,0.0, |  |  |  |  |  |  | NPL,567347968.0,True
NGA,2026,16628593.0,567348000.0,0.0, |  |  | NGA,567347968.0,True
NGA,2027,16628593.0,567348000.0,0.0, |  |  | NGA,567347968.0,True
NGA,2028,16628593.0,567348000.0,0.0, |  |  | NGA,567347968.0,True
NGA,2029,16628593.0,567348000.0,0.0, |  |  | NGA,567347968.0,True
NGA,2030,16628593.0,567348000.0,0.0, |  |  | NGA,567347968.0,True
PSE,2026,16628593.0,567348000.0,0.0, |  | PSE,567347968.0,True
PSE,2027,16628593.0,567348000.0,0.0, |  | PSE,567347968.0,True
PSE,2028,16628593.0,567348000.0,0.0, |  | PSE,567347968.0,True
PSE,2029,16628593.0,567348000.0,0.0, |  | PSE,567347968.0,True
PSE,2030,16628593.0,567348000.0,0.0, |  | PSE,567347968.0,True
HTI,2026,16628593.0,567348000.0,0.0, | HTI |  |  |  |  |  |  |  |  | ,567347968.0,True
HTI,2027,16628593.0,567348000.0,0.0, | HTI |  |  |  |  |  |  |  |  | ,567347968.0,True
HTI,2028,16628593.0,567348000.0,0.0, | HTI |  |  |  |  |  |  |  |  | ,567347968.0,True
HTI,2029,16628593.0,567348000.0,0.0, | HTI |  |  |  |  |  |  |  |  | ,567347968.0,True
HTI,2030,16628593.0,567348000.0,0.0, | HTI |  |  |  |  |  |  |  |  | ,567347968.0,True
NGA,2026,16628593.0,567348000.0,0.0, | NGA |  | ,567347968.0,True
NGA,2027,16628593.0,567348000.0,0.0, | NGA |  | ,567347968.0,True
NGA,2028,16628593.0,567348000.0,0.0, | NGA |  | ,567347968.0,True
NGA,2029,16628593.0,567348000.0,0.0, | NGA |  | ,567347968.0,True
NGA,2030,16628593.0,567348000.0,0.0, | NGA |  | ,567347968.0,True
PSE,2026,16628593.0,567348000.0,0.0, | PSE | ,567347968.0,True
PSE,2027,16628593.0,567348000.0,0.0, | PSE | ,567347968.0,True
PSE,2028,16628593.0,567348000.0,0.0, | PSE | ,567347968.0,True
PSE,2029,16628593.0,567348000.0,0.0, | PSE | ,567347968.0,True
PSE,2030,16628593.0,567348000.0,0.0, | PSE | ,567347968.0,True
AFG,2026,147946530.0,1713165800.0,2208954538.0637574,AFG,-495788714.0637574,False
AFG,2027,147946530.0,1713165800.0,2292095101.264384,AFG,-578929277.2643838,False
AFG,2028,147946530.0,1713165800.0,2375235664.465009,AFG,-662069840.4650092,False
AFG,2029,147946530.0,1713165800.0,2458604010.030569,AFG,-745438186.0305691,False
AFG,2030,147946530.0,1713165800.0,2541744573.2311945,AFG,-828578749.2311945,False
AFG,2026,16628593.0,567348000.0,0.0,AFG |  |  |  |  |  |  |  | ,567347968.0,True
AFG,2027,16628593.0,567348000.0,0.0,AFG |  |  |  |  |  |  |  | ,567347968.0,True
