iso3,year,Predicted_In_Need,Predicted_Requirements,Predicted_Funding,iso3_original,Funding_Gap,Risk_Flag
AGO,2030,16628593.0,567348000.0,-1015900396.8169057,AGO,1583248364.8169057,True
AGO,2029,16628593.0,567348000.0,-971443777.3806092,AGO,1538791745.380609,True
AGO,2028,16628593.0,567348000.0,-926865358.9869527,AGO,1494213326.9869528,True
AGO,2027,16628593.0,567348000.0,-882408739.550656,AGO,1449756707.5506558,True
AGO,2026,16628593.0,567348000.0,-837952120.1143594,AGO,1405300088.1143594,True
TLS,2030,16628593.0,567348000.0,-429186916.19002193,TLS,996534884.190022,True
TLS,2029,16628593.0,567348000.0,-409127422.4514101,TLS,976475390.45141,True
TLS,2028,16628593.0,567348000.0,-389012971.1957063,TLS,956360939.1957064,True
TLS,2027,16628593.0,567348000.0,-368953477.45709443,TLS,936301445.4570944,True
TLS,2026,16628593.0,567348000.0,-348893983.7184826,TLS,916241951.7184826,True
CMR,2030,16628593.0,567348000.0,-314022484.7475558,MLI | NER | NGA | SEN | BFA | TCD | GMB | MRT | CMR,881370452.7475557,True
CMR,2029,16628593.0,567348000.0,-291660617.16647977,MLI | NER | NGA | SEN | BFA | TCD | GMB | MRT | CMR,859008585.1664798,True
CMR,2028,16628593.0,567348000.0,-269237484.19477063,MLI | NER | NGA | SEN | BFA | TCD | GMB | MRT | CMR,836585452.1947706,True
CMR,2027,16628593.0,567348000.0,-246875616.61369464,MLI | NER | NGA | SEN | BFA | TCD | GMB | MRT | CMR,814223584.6136947,True
CMR,2026,16628593.0,567348000.0,-224513749.0326186,MLI | NER | NGA | SEN | BFA | TCD | GMB | MRT | CMR,791861717.0326186,True
SEN,2030,16628593.0,567348000.0,-157405967.48388284,SEN,724753935.4838829,True
SEN,2029,16628593.0,567348000.0,-143649772.88214877,SEN,710997740.8821487,True
GIN,2030,16628593.0,567348000.0,-134236522.24431697,GIN,701584490.2443169,True
SEN,2028,16628593.0,567348000.0,-129855890.07602635,SEN,697203858.0760263,True
GIN,2029,16628593.0,567348000.0,-127547734.28524669,GIN,694895702.2852467,True
GIN,2028,16628593.0,567348000.0,-120840620.87971324,GIN,688188588.8797133,True
SEN,2027,16628593.0,567348000.0,-116099695.47429222,SEN,683447663.4742923,True
GIN,2027,16628593.0,567348000.0,-114151832.92064299,GIN,681499800.920643,True
GIN,2026,16628593.0,567348000.0,-107463044.96157274,GIN,674811012.9615728,True
SEN,2026,16628593.0,567348000.0,-102343500.87255813,SEN,669691468.8725581,True
PAK,2030,16628593.0,567348000.0,-90467248.38471377,PAK,657815216.3847138,True
TJK,2030,16628593.0,567348000.0,-63968090.245244265,TJK,631316058.2452443,True
TJK,2029,16628593.0,567348000.0,-59761455.959482506,TJK,627109423.9594826,True
TJK,2028,16628593.0,567348000.0,-55543296.6482803,TJK,622891264.6482803,True
TJK,2027,16628593.0,567348000.0,-51336662.36251854,TJK,618684630.3625185,True
PAK,2029,16628593.0,567348000.0,-48729127.788378984,PAK,616077095.788379,True
TJK,2026,16628593.0,567348000.0,-47130028.07675678,TJK,614477996.0767568,True
GMB,2030,16628593.0,567348000.0,-33400891.930887267,GMB,600748859.9308872,True
GMB,2029,16628593.0,567348000.0,-29989196.231394768,GMB,597337164.2313948,True
GMB,2028,16628593.0,567348000.0,-26568153.42039682,GMB,593916121.4203968,True
GMB,2027,16628593.0,567348000.0,-23156457.720904324,GMB,590504425.7209044,True
GMB,2026,16628593.0,567348000.0,-19744762.021411832,GMB,587092730.0214118,True
PAK,2028,16628593.0,567348000.0,-6876656.176711816,PAK,574224624.1767118,True
ETH,2029,16628593.0,567348000.0,0.0,KEN | UGA | ETH,567347968.0,True
ETH,2030,16628593.0,567348000.0,0.0,KEN | UGA | ETH,567347968.0,True
KGZ,2026,16628593.0,567348000.0,0.0,KGZ,567347968.0,True
BDI,2028,16628593.0,567348000.0,0.0,TZA | RWA | BDI,567347968.0,True
KGZ,2027,16628593.0,567348000.0,0.0,KGZ,567347968.0,True
BDI,2026,16628593.0,567348000.0,0.0,TZA | RWA | BDI,567347968.0,True
ETH,2030,16628593.0,567348000.0,0.0,TZA | KEN | DJI | SOM | ETH,567347968.0,True
ETH,2029,16628593.0,567348000.0,0.0,TZA | KEN | DJI | SOM | ETH,567347968.0,True
ETH,2028,16628593.0,567348000.0,0.0,TZA | KEN | DJI | SOM | ETH,567347968.0,True
ETH,2027,16628593.0,567348000.0,0.0,TZA | KEN | DJI | SOM | ETH,567347968.0,True
ETH,2026,16628593.0,567348000.0,0.0,TZA | KEN | DJI | SOM | ETH,567347968.0,True
JOR,2027,16628593.0,567348000.0,0.0,JOR,567347968.0,True
ETH,2028,16628593.0,567348000.0,0.0,KEN | UGA | ETH,567347968.0,True
ETH,2027,16628593.0,567348000.0,0.0,KEN | UGA | ETH,567347968.0,True
ETH,2026,16628593.0,567348000.0,0.0,KEN | UGA | ETH,567347968.0,True
UGA,2030,16628593.0,567348000.0,0.0,KEN | ETH | UGA,567347968.0,True
UGA,2028,16628593.0,567348000.0,0.0,KEN | ETH | UGA,567347968.0,True
BDI,2027,16628593.0,567348000.0,0.0,TZA | RWA | BDI,567347968.0,True
EGY,2027,16628593.0,567348000.0,0.0,LBY | NER | TUN | EGY,567347968.0,True
EGY,2026,16628593.0,567348000.0,0.0,LBY | NER | TUN | EGY,567347968.0,True
GNB,2030,16628593.0,567348000.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,567347968.0,True
GNB,2029,16628593.0,567348000.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,567347968.0,True
GNB,2028,16628593.0,567348000.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,567347968.0,True
GNB,2027,16628593.0,567348000.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,567347968.0,True
GNB,2026,16628593.0,567348000.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,567347968.0,True
TUR,2027,16628593.0,567348000.0,0.0,TUR,567347968.0,True
TUR,2026,16628593.0,567348000.0,0.0,TUR,567347968.0,True
TUR,2030,16628593.0,567348000.0,0.0,TUR,567347968.0,True
TUR,2029,16628593.0,567348000.0,0.0,TUR,567347968.0,True
TUR,2028,16628593.0,567348000.0,0.0,TUR,567347968.0,True
SLE,2030,16628593.0,567348000.0,0.0,LBR | GIN | SLE,567347968.0,True
SLE,2029,16628593.0,567348000.0,0.0,LBR | GIN | SLE,567347968.0,True
UGA,2029,16628593.0,567348000.0,0.0,KEN | ETH | UGA,567347968.0,True
SLE,2027,16628593.0,567348000.0,0.0,LBR | GIN | SLE,567347968.0,True
SLE,2026,16628593.0,567348000.0,0.0,LBR | GIN | SLE,567347968.0,True
IRQ,2030,16628593.0,567348000.0,0.0,LBN | TUR | EGY | JOR | IRQ,567347968.0,True
IRQ,2029,16628593.0,567348000.0,0.0,LBN | TUR | EGY | JOR | IRQ,567347968.0,True
IRQ,2028,16628593.0,567348000.0,0.0,LBN | TUR | EGY | JOR | IRQ,567347968.0,True
IRQ,2027,16628593.0,567348000.0,0.0,LBN | TUR | EGY | JOR | IRQ,567347968.0,True
IRQ,2026,16628593.0,567348000.0,0.0,LBN | TUR | EGY | JOR | IRQ,567347968.0,True
EGY,2026,16628593.0,567348000.0,0.0,LBY | TCD | SSD | UGA | ETH | CAF | EGY,567347968.0,True
EGY,2030,16628593.0,567348000.0,0.0,LBY | NER | TUN | EGY,567347968.0,True
EGY,2029,16628593.0,567348000.0,0.0,LBY | NER | TUN | EGY,567347968.0,True
LAO,2026,16628593.0,567348000.0,0.0,LAO,567347968.0,True
KGZ,2030,16628593.0,567348000.0,0.0,KGZ,567347968.0,True
KGZ,2029,16628593.0,567348000.0,0.0,KGZ,567347968.0,True
KGZ,2028,16628593.0,567348000.0,0.0,KGZ,567347968.0,True
